U.S. Natural Gas Imports
https://www.eia.gov/dnav/ng/hist/n9100us2m.htm
21:01:26 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Imports  Million Cubic Feet
Sep 1992,166117
Aug 1992,174733
Jul 1992,167216
Jun 1992,162249
May 1992,174312
Apr 1992,176146
Mar 1992,180482
Feb 1992,175243
Jan 1992,164636
Dec 1991,180585
Nov 1991,168718
Oct 1991,156635
Sep 1991,133934
Aug 1991,127139
Jul 1991,134859
Jun 1991,133264
May 1991,141292
Apr 1991,143955
Mar 1991,151487
Feb 1991,137998
Jan 1991,163448
Dec 1990,155884
Nov 1990,139691
Oct 1990,141974
Sep 1990,119523
Aug 1990,118485
Jul 1990,119686
Jun 1990,117009
May 1990,122917
Apr 1990,123360
Mar 1990,115979
Feb 1990,117576
Jan 1990,140176
Dec 1989,144973
Nov 1989,123159
Oct 1989,122663
Sep 1989,116763
Aug 1989,107770
Jul 1989,101486
Jun 1989,103706
May 1989,107980
Apr 1989,110335
Mar 1989,113196
Feb 1989,110218
Jan 1989,119269
Dec 1988,127943
Nov 1988,120685
Oct 1988,106884
Sep 1988,95861
Aug 1988,95434
Jul 1988,99844
Jun 1988,93165
May 1988,93370
Apr 1988,94722
Mar 1988,111816
Feb 1988,116223
Jan 1988,137865
Dec 1987,120510
Nov 1987,107092
Oct 1987,93094
Sep 1987,72837
Aug 1987,74702
Jul 1987,66211
Jun 1987,57709
May 1987,61422
Apr 1987,68486
Mar 1987,85778
Feb 1987,83911
Jan 1987,100779
Dec 1986,90497
Nov 1986,70483
Oct 1986,68628
Sep 1986,54479
Aug 1986,50580
Jul 1986,48382
Jun 1986,44427
May 1986,52179
Apr 1986,42512
Mar 1986,54684
Feb 1986,74182
Jan 1986,99415
Dec 1985,106233
Nov 1985,77078
Oct 1985,75802
Sep 1985,63268
Aug 1985,60519
Jul 1985,59497
Jun 1985,65422
May 1985,73439
Apr 1985,75513
Mar 1985,89554
Feb 1985,99497
Jan 1985,103893
Dec 1984,94469
Nov 1984,84502
Oct 1984,65822
Sep 1984,56831
Aug 1984,54104
Jul 1984,55459
Jun 1984,59292
May 1984,65967
Apr 1984,71215
Mar 1984,69161
Feb 1984,68900
Jan 1984,97339
Dec 1983,106865
Nov 1983,80498
Oct 1983,64236
Sep 1983,66866
Aug 1983,55511
Jul 1983,58094
Jun 1983,58866
May 1983,61135
Apr 1983,73644
Mar 1983,85912
Feb 1983,94673
Jan 1983,112108
Dec 1982,109928
Nov 1982,90532
Oct 1982,76522
Sep 1982,65515
Aug 1982,60809
Jul 1982,66839
Jun 1982,61213
May 1982,65324
Apr 1982,71591
Mar 1982,81648
Feb 1982,85337
Jan 1982,98077
Dec 1981,92544
Nov 1981,81940
Oct 1981,79204
Sep 1981,67316
Aug 1981,64450
Jul 1981,66184
Jun 1981,64923
May 1981,62377
Apr 1981,69337
Mar 1981,79820
Feb 1981,84706
Jan 1981,91149
Dec 1980,97806
Nov 1980,88279
Oct 1980,74355
Sep 1980,60190
Aug 1980,59966
Jul 1980,60600
Jun 1980,61256
May 1980,70207
Apr 1980,77257
Mar 1980,108648
Feb 1980,108192
Jan 1980,118006
Dec 1979,110099
Nov 1979,114564
Oct 1979,107418
Sep 1979,97936
Aug 1979,96985
Jul 1979,103754
Jun 1979,100633
May 1979,104317
Apr 1979,105864
Mar 1979,112962
Feb 1979,96612
Jan 1979,102237
Dec 1978,107026
Nov 1978,90783
Oct 1978,80197
Sep 1978,73236
Aug 1978,73604
Jul 1978,71557
Jun 1978,68327
May 1978,73829
Apr 1978,78313
Mar 1978,85621
Feb 1978,77256
Jan 1978,85796
Dec 1977,89536
Nov 1977,86300
Oct 1977,84828
Sep 1977,75446
Aug 1977,76453
