U.S. Natural Gas Exports
https://www.eia.gov/dnav/ng/hist/n9130us2m.htm
21:01:36 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Exports  Million Cubic Feet
Oct 1988,5497
Sep 1988,7187
Aug 1988,6008
Jul 1988,4892
Jun 1988,8469
May 1988,3777
Apr 1988,6354
Mar 1988,6218
Feb 1988,4650
Jan 1988,4765
Dec 1987,4674
Nov 1987,6432
Oct 1987,5233
Sep 1987,4554
Aug 1987,4557
Jul 1987,4557
Jun 1987,4570
May 1987,3120
Apr 1987,3153
Mar 1987,4619
Feb 1987,3431
Jan 1987,5119
Dec 1986,5537
Nov 1986,5985
Oct 1986,5453
Sep 1986,4553
Aug 1986,6125
Jul 1986,5650
Jun 1986,5980
May 1986,3017
Apr 1986,5826
Mar 1986,5297
Feb 1986,3174
Jan 1986,4674
Dec 1985,4644
Nov 1985,4651
Oct 1985,4590
Sep 1985,4562
Aug 1985,4585
Jul 1985,6053
Jun 1985,4578
May 1985,1642
Apr 1985,4624
Mar 1985,6065
Feb 1985,4607
Jan 1985,4668
Dec 1984,4642
Nov 1984,4578
Oct 1984,4584
Sep 1984,4549
Aug 1984,4573
Jul 1984,4542
Jun 1984,3047
May 1984,4559
Apr 1984,4539
Mar 1984,5998
Feb 1984,4557
Jan 1984,4585
Dec 1983,4597
Nov 1983,4567
Oct 1983,4449
Sep 1983,4482
Aug 1983,6031
Jul 1983,4548
Jun 1983,3075
May 1983,4583
Apr 1983,4559
Mar 1983,4585
Feb 1983,4572
Jan 1983,4590
Dec 1982,4575
Nov 1982,4580
Oct 1982,4530
Sep 1982,4515
Aug 1982,5983
Jul 1982,4540
Jun 1982,5981
May 1982,3074
Apr 1982,1614
Mar 1982,4599
Feb 1982,4563
Jan 1982,3173
Dec 1981,4539
Nov 1981,5140
Oct 1981,5108
Sep 1981,5776
Aug 1981,4975
Jul 1981,5336
Jun 1981,4953
May 1981,3524
Apr 1981,4539
Mar 1981,5320
Feb 1981,4696
Jan 1981,5468
Dec 1980,4818
Nov 1980,3500
Oct 1980,4546
Sep 1980,5051
Aug 1980,2598
Jul 1980,2585
Jun 1980,3147
May 1980,3144
Apr 1980,3245
Mar 1980,4799
Feb 1980,4857
Jan 1980,6444
Dec 1979,3548
Nov 1979,3395
Oct 1979,3180
Sep 1979,4645
Aug 1979,4628
Jul 1979,6075
Jun 1979,4610
May 1979,4652
Apr 1979,4664
Mar 1979,4789
Feb 1979,4899
Jan 1979,6589
Dec 1978,3584
Nov 1978,3307
Oct 1978,3236
Sep 1978,6097
Aug 1978,4615
Jul 1978,4616
Jun 1978,4592
May 1978,4615
Apr 1978,3182
Mar 1978,4775
Feb 1978,4908
Jan 1978,5005
Dec 1977,4896
Nov 1977,4735
Oct 1977,4622
Sep 1977,4621
Aug 1977,5141
Jul 1977,7016
Jun 1977,4600
May 1977,3158
Apr 1977,3188
Mar 1977,4289
Feb 1977,4574
Jan 1977,4785
Dec 1976,4837
Nov 1976,5163
Oct 1976,4870
Sep 1976,6540
Aug 1976,5578
Jul 1976,5997
Jun 1976,4755
May 1976,4664
Apr 1976,5640
Mar 1976,6007
Feb 1976,5337
Jan 1976,5323
Dec 1975,7748
Nov 1975,5202
Oct 1975,5987
Sep 1975,6037
Aug 1975,6288
Jul 1975,8091
Jun 1975,3624
May 1975,6677
Apr 1975,5815
Mar 1975,6265
Feb 1975,6982
Jan 1975,3959
Dec 1974,6966
Nov 1974,7039
Oct 1974,5332
Sep 1974,6397
Aug 1974,5332
Jul 1974,8072
Jun 1974,7610
May 1974,5481
Apr 1974,6273
Mar 1974,6677
Feb 1974,5949
Jan 1974,5661
Dec 1973,8481
Nov 1973,5545
Oct 1973,5473
Sep 1973,6403
Aug 1973,8726
Jul 1973,5744
Jun 1973,4131
May 1973,8741
Apr 1973,8017
Mar 1973,4021
Feb 1973,6079
Jan 1973,5808
