Price of U.S. Natural Gas Exports
https://www.eia.gov/dnav/ng/hist/n9130us3m.htm
21:00:36 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,Price of U.S. Natural Gas Exports  Dollars per Thousand Cubic Feet
Jun 2001,4.64
May 2001,5.5
Apr 2001,5.65
Mar 2001,4.93
Feb 2001,5.8
Jan 2001,7.48
Dec 2000,5.65
Nov 2000,4.39
Oct 2000,5.04
Sep 2000,4.81
Aug 2000,4.13
Jul 2000,4.45
Jun 2000,4.27
May 2000,3.52
Apr 2000,3.37
Mar 2000,3
Feb 2000,3.05
Jan 2000,2.95
Dec 1999,2.86
Nov 1999,3.12
Oct 1999,2.89
Sep 1999,3.03
Aug 1999,2.84
Jul 1999,2.54
Jun 1999,2.44
May 1999,2.48
Apr 1999,2.26
Mar 1999,2.11
Feb 1999,2.3
Jan 1999,2.36
Dec 1998,2.34
Nov 1998,2.28
Oct 1998,2.28
Sep 1998,2.4
Aug 1998,2.35
Jul 1998,2.42
Jun 1998,2.29
May 1998,2.26
Apr 1998,2.57
Mar 1998,2.55
Feb 1998,2.53
Jan 1998,2.93
Dec 1997,2.86
Nov 1997,3.35
Oct 1997,3.19
Sep 1997,2.83
Aug 1997,2.86
Jul 1997,2.71
Jun 1997,2.81
May 1997,2.72
Apr 1997,2.72
Mar 1997,2.74
Feb 1997,3.46
Jan 1997,4.16
Dec 1996,3.7
Nov 1996,3.25
Oct 1996,2.83
Sep 1996,2.85
Aug 1996,2.65
Jul 1996,3.04
Jun 1996,2.87
May 1996,2.73
Apr 1996,2.88
Mar 1996,2.88
Feb 1996,2.85
Jan 1996,3.1
Dec 1995,2.94
Nov 1995,2.69
Oct 1995,2.21
Sep 1995,2.58
Aug 1995,2.6
Jul 1995,2.3
Jun 1995,2.34
May 1995,2.23
Apr 1995,2.17
Mar 1995,2.22
Feb 1995,2.3
Jan 1995,2.36
Dec 1994,2.47
Nov 1994,2.21
Oct 1994,2.38
Sep 1994,2.37
Aug 1994,2.42
Jul 1994,2.65
Jun 1994,2.52
May 1994,2.47
Apr 1994,2.45
Mar 1994,2.74
Feb 1994,2.74
Jan 1994,2.71
Dec 1993,3.01
Nov 1993,2.83
Oct 1993,2.52
Sep 1993,2.78
Aug 1993,2.68
Jul 1993,2.55
Jun 1993,2.31
May 1993,2.63
Apr 1993,2.58
Mar 1993,2.46
Feb 1993,2.45
Jan 1993,2.44
Dec 1992,2.49
Nov 1992,2.52
Oct 1992,2.65
Sep 1992,2.36
Aug 1992,2.31
Jul 1992,2.16
Jun 1992,2.17
May 1992,2.12
Apr 1992,1.88
Mar 1992,2.03
Feb 1992,1.98
Jan 1992,2.3
Dec 1991,2.58
Nov 1991,2.41
Oct 1991,2.27
Sep 1991,2.32
Aug 1991,2.53
Jul 1991,2.36
Jun 1991,2.19
May 1991,2.14
Apr 1991,2.87
Mar 1991,2.76
Feb 1991,3.08
Jan 1991,3.61
Dec 1990,4.23
Nov 1990,2.74
Oct 1990,2.71
Sep 1990,2.82
Aug 1990,2.79
Jul 1990,2.95
Jun 1990,2.75
May 1990,2.51
Apr 1990,2.95
Mar 1990,2.42
Feb 1990,2.94
Jan 1990,3.11
Dec 1989,2.79
Nov 1989,2.71
Oct 1989,2.56
Sep 1989,2.41
Aug 1989,2.48
Jul 1989,2.54
Jun 1989,2.57
May 1989,2.44
Apr 1989,2.33
Mar 1989,2.4
Feb 1989,2.4
Jan 1989,2.69
