U.S. Imports of Total Gasoline Weekly,
https://www.eia.gov/opendata/qb.php?sdid=PET.WGTIMUS2.W,
20:28:36 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Series ID: PET.WGTIMUS2.W Thousand Barrels per Day
6/18/2004,1017
6/11/2004,756
6/4/2004,1029
5/28/2004,991
5/21/2004,850
5/14/2004,955
5/7/2004,919
4/30/2004,618
4/23/2004,771
4/16/2004,1295
4/9/2004,834
4/2/2004,1226
3/26/2004,1168
3/19/2004,756
3/12/2004,934
3/5/2004,1021
2/27/2004,621
2/20/2004,854
2/13/2004,692
2/6/2004,555
1/30/2004,688
1/23/2004,490
1/16/2004,689
1/9/2004,604
1/2/2004,732
12/26/2003,583
12/19/2003,924
12/12/2003,759
12/5/2003,567
11/28/2003,947
11/21/2003,821
11/14/2003,632
11/7/2003,863
10/31/2003,759
10/24/2003,746
10/17/2003,698
10/10/2003,638
10/3/2003,831
9/26/2003,752
9/19/2003,721
9/12/2003,830
9/5/2003,921
8/29/2003,1166
8/22/2003,811
8/15/2003,908
8/8/2003,578
8/1/2003,931
7/25/2003,980
7/18/2003,738
7/11/2003,934
7/4/2003,1135
6/27/2003,1070
6/20/2003,871
6/13/2003,842
6/6/2003,827
5/30/2003,758
5/23/2003,923
5/16/2003,1227
5/9/2003,744
5/2/2003,1105
4/25/2003,1112
4/18/2003,1023
4/11/2003,981
4/4/2003,1134
3/28/2003,883
3/21/2003,988
3/14/2003,1002
3/7/2003,783
2/28/2003,678
2/21/2003,614
2/14/2003,738
2/7/2003,872
1/31/2003,711
1/24/2003,621
1/17/2003,820
1/10/2003,767
1/3/2003,740
12/27/2002,589
12/20/2002,1038
12/13/2002,801
12/6/2002,809
11/29/2002,780
11/22/2002,888
11/15/2002,738
11/8/2002,915
11/1/2002,1090
10/25/2002,773
10/18/2002,594
10/11/2002,572
10/4/2002,1016
9/27/2002,828
9/20/2002,792
9/13/2002,672
9/6/2002,961
8/30/2002,757
8/23/2002,990
8/16/2002,952
8/9/2002,667
8/2/2002,985
7/26/2002,870
7/19/2002,1077
7/12/2002,691
7/5/2002,594
6/28/2002,1032
6/21/2002,1132
6/14/2002,784
6/7/2002,574
5/31/2002,708
5/24/2002,866
5/17/2002,1079
5/10/2002,844
5/3/2002,853
4/26/2002,1064
4/19/2002,863
4/12/2002,714
4/5/2002,897
3/29/2002,782
3/22/2002,785
3/15/2002,720
3/8/2002,669
3/1/2002,727
2/22/2002,685
2/15/2002,868
2/8/2002,475
2/1/2002,570
1/25/2002,736
1/18/2002,617
1/11/2002,728
1/4/2002,765
12/28/2001,816
12/21/2001,771
12/14/2001,696
12/7/2001,438
11/30/2001,831
11/23/2001,740
11/16/2001,822
11/9/2001,542
11/2/2001,776
10/26/2001,640
10/19/2001,695
10/12/2001,748
10/5/2001,773
9/28/2001,955
9/21/2001,935
9/14/2001,464
9/7/2001,582
8/31/2001,675
8/24/2001,579
8/17/2001,947
8/10/2001,621
8/3/2001,573
7/27/2001,808
7/20/2001,781
7/13/2001,637
7/6/2001,555
6/29/2001,752
6/22/2001,711
6/15/2001,829
6/8/2001,865
6/1/2001,489
5/25/2001,692
5/18/2001,813
5/11/2001,507
5/4/2001,786
4/27/2001,863
4/20/2001,678
4/13/2001,496
4/6/2001,692
3/30/2001,518
3/23/2001,664
3/16/2001,325
3/9/2001,563
3/2/2001,891
2/23/2001,580
2/16/2001,482
2/9/2001,592
2/2/2001,721
1/26/2001,740
1/19/2001,636
1/12/2001,712
1/5/2001,694
12/29/2000,562
12/22/2000,347
12/15/2000,884
12/8/2000,518
12/1/2000,590
11/24/2000,487
11/17/2000,490
11/10/2000,453
